X,Y,Z,azimuth,dip,polarity,formation
426378.000,5881440.000,564.144,136,67,1,00_above_Nant_Ffrancon_Fm
426143.000,5881780.000,490.532,110,50,1,00_above_Nant_Ffrancon_Fm
426404.000,5884053.000,527.459,130,75,1,01_Nant_Ffrancon_Fm
425356.000,5882394.000,636.209,198,86,1,01_Nant_Ffrancon_Fm
425255.000,5882217.000,635.310,180,65,1,01_Nant_Ffrancon_Fm
423350.000,5882587.000,532.182,354,16,1,01_Nant_Ffrancon_Fm
422207.000,5881023.000,203.317,269,69,1,01_Nant_Ffrancon_Fm
423910.000,5882529.000,544.364,210,69,1,01_Nant_Ffrancon_Fm
421027.000,5883516.000,157.621,140,70,1,01_Nant_Ffrancon_Fm
422615.000,5881676.000,182.478,287,80,1,01_Nant_Ffrancon_Fm
422954.000,5882867.000,563.768,337,45,1,01_Nant_Ffrancon_Fm
423708.000,5882380.000,533.788,249,37,1,01_Nant_Ffrancon_Fm
423029.000,5884095.000,487.649,300,50,1,01_Nant_Ffrancon_Fm
423251.000,5884743.000,396.741,114,31,1,01_Nant_Ffrancon_Fm
423785.000,5881362.000,277.380,304,49,1,01_Nant_Ffrancon_Fm
426340.000,5884068.000,499.585,156,75,-1,02_Marchlyn_Fm
421919.000,5881843.000,149.054,50,48,1,02_Marchlyn_Fm
421854.000,5882876.000,373.038,250,31,1,02_Marchlyn_Fm
421873.000,5882520.000,264.583,316,78,1,02_Marchlyn_Fm
421457.000,5882072.000,164.717,158,80,-1,02_Marchlyn_Fm
422138.000,5882319.000,251.001,137,44,1,02_Marchlyn_Fm
422424.000,5882426.000,410.504,137,57,1,02_Marchlyn_Fm
421382.000,5882388.000,155.183,148,48,1,02_Marchlyn_Fm
425272.000,5883394.000,273.261,189,70,1,02_Marchlyn_Fm
422158.000,5882634.000,332.660,138,70,1,02_Marchlyn_Fm
424963.000,5882983.000,355.990,280,61,1,02_Marchlyn_Fm
424711.000,5883655.000,310.799,254,34,1,02_Marchlyn_Fm
424250.000,5883223.000,420.901,190,47,1,02_Marchlyn_Fm
424101.000,5885817.000,166.197,303,32,1,02_Marchlyn_Fm
424407.000,5883876.000,369.542,287,30,1,02_Marchlyn_Fm
422895.000,5883597.000,473.481,295,83,1,02_Marchlyn_Fm
421991.000,5882978.000,457.755,135,28,1,02_Marchlyn_Fm
421266.000,5883103.000,185.811,145,60,1,02_Marchlyn_Fm
421099.000,5882895.000,150.717,125,50,1,02_Marchlyn_Fm
421315.000,5881847.000,243.563,157,78,-1,02_Marchlyn_Fm
421704.000,5882897.000,293.883,305,67,1,02_Marchlyn_Fm
421773.000,5881714.000,144.682,21,78,1,02_Marchlyn_Fm
422476.000,5882901.000,492.725,145,37,1,02_Marchlyn_Fm
424803.000,5882621.000,373.911,202,32,1,02_Marchlyn_Fm
424144.000,5885352.000,208.026,290,37,1,02_Marchlyn_Fm
425762.000,5883403.000,300.291,159,46,1,02_Marchlyn_Fm
422101.000,5882792.000,421.517,324,75,1,02_Marchlyn_Fm
424511.000,5884109.000,263.974,274,32,1,02_Marchlyn_Fm
426802.000,5886299.000,448.579,105,60,1,03_Bronllwyd_Grit_Fm
420843.000,5884201.000,202.204,127,67,1,03_Bronllwyd_Grit_Fm
425432.000,5884600.000,351.198,233,24,1,03_Bronllwyd_Grit_Fm
426697.000,5885889.000,297.239,109,61,1,03_Bronllwyd_Grit_Fm
425946.000,5886046.000,158.606,272,60,1,03_Bronllwyd_Grit_Fm
425644.000,5885074.000,232.254,129,57,1,03_Bronllwyd_Grit_Fm
425319.000,5884808.000,302.948,258,74,1,03_Bronllwyd_Grit_Fm
422540.000,5885429.000,431.198,171,21,1,03_Bronllwyd_Grit_Fm
424407.000,5886333.000,117.931,181,40,1,03_Bronllwyd_Grit_Fm
424405.000,5885504.000,166.169,263,27,1,03_Bronllwyd_Grit_Fm
424633.000,5885808.000,126.369,299,53,1,03_Bronllwyd_Grit_Fm
424788.000,5886881.000,131.704,285,62,1,03_Bronllwyd_Grit_Fm
424339.000,5886085.000,135.230,224,32,1,03_Bronllwyd_Grit_Fm
426450.000,5884938.000,128.597,134,55,1,03_Bronllwyd_Grit_Fm
425186.000,5885324.000,153.012,271,61,1,03_Bronllwyd_Grit_Fm
426310.000,5884666.000,323.315,117,55,1,03_Bronllwyd_Grit_Fm
424885.000,5885353.000,155.132,276,72,1,03_Bronllwyd_Grit_Fm
425682.000,5884757.000,360.470,110,68,-1,03_Bronllwyd_Grit_Fm
426385.000,5886282.000,306.790,285,29,1,03_Bronllwyd_Grit_Fm
426107.000,5884196.000,410.678,164,43,1,03_Bronllwyd_Grit_Fm
426347.000,5886539.000,325.330,292,40,1,03_Bronllwyd_Grit_Fm
425634.000,5885460.000,149.310,269,72,1,03_Bronllwyd_Grit_Fm
425660.000,5886283.000,203.992,279,63,1,03_Bronllwyd_Grit_Fm
425444.000,5885489.000,148.833,264,75,1,03_Bronllwyd_Grit_Fm
425449.000,5886882.000,283.610,301,45,1,03_Bronllwyd_Grit_Fm
420421.000,5883409.000,130.711,123,85,1,03_Bronllwyd_Grit_Fm
425657.000,5884573.000,397.716,195,26,1,03_Bronllwyd_Grit_Fm
423009.000,5885789.000,362.528,142,30,1,03_Bronllwyd_Grit_Fm
423603.000,5886017.000,251.932,146,50,1,03_Bronllwyd_Grit_Fm
426476.000,5884533.000,332.195,136,72,1,03_Bronllwyd_Grit_Fm
423462.000,5886100.000,241.449,204,18,1,03_Bronllwyd_Grit_Fm
426108.000,5884521.000,415.815,141,50,1,03_Bronllwyd_Grit_Fm
424152.000,5886383.000,137.474,149,47,1,03_Bronllwyd_Grit_Fm
425822.000,5884576.000,383.837,172,63,1,03_Bronllwyd_Grit_Fm
426176.000,5886096.000,138.309,295,53,1,03_Bronllwyd_Grit_Fm
422399.000,5886221.000,382.272,137,45,1,04_Llanberis_Slates_Fm
422684.000,5886452.000,321.120,119,50,1,04_Llanberis_Slates_Fm
421942.000,5885969.000,380.695,248,13,1,04_Llanberis_Slates_Fm
422448.000,5886722.000,294.623,174,46,1,05_Fachwen_Fm
422227.000,5886414.000,379.978,192,24,1,05_Fachwen_Fm
419873.000,5883616.000,148.475,137,83,1,05_Fachwen_Fm
422971.000,5886887.000,224.003,299,10,1,05_Fachwen_Fm
423972.200,5881805.900,334.000,307,63,1,Fault_01
424250.600,5883401.500,404.600,298,70,1,Fault_02
423951.500,5883364.100,331.000,217,52,1,Fault_03
423419.100,5883917.800,376.400,141,74,1,Fault_04
421964.000,5884622.900,274.300,142,53,1,Fault_05
424923.300,5882716.500,390.600,56,56,1,Fault_07
425436.300,5883411.700,304.400,61,56,1,Fault_08
425546.500,5883320.400,346.500,111,55,1,Fault_09
423044.800,5883966.600,447.200,24,55,1,Fault_10
422864.700,5883792.000,498.300,10,65,1,Fault_11
420976.800,5882808.700,197.200,308,65,1,Fault_13
422827.800,5885177.300,398.900,327,77,1,Fault_14
423118.500,5885190.600,358.400,328,71,1,Fault_15
