X,Y,Z,formation
424369.9941,5884635.9196,-1.4946,03_Bronllwyd_Grit_Fm
424390.6147,5884622.0109,1.0231,03_Bronllwyd_Grit_Fm
424411.2352,5884608.1021,3.5407,03_Bronllwyd_Grit_Fm
424431.8558,5884594.1934,6.0584,03_Bronllwyd_Grit_Fm
424452.4757,5884580.2851,8.5759,03_Bronllwyd_Grit_Fm
424473.0228,5884566.4259,11.8531,03_Bronllwyd_Grit_Fm
424493.5699,5884552.5667,15.1303,03_Bronllwyd_Grit_Fm
424514.1170,5884538.7075,18.4075,03_Bronllwyd_Grit_Fm
424534.6639,5884524.8484,21.6856,03_Bronllwyd_Grit_Fm
424554.9708,5884511.1513,26.6874,03_Bronllwyd_Grit_Fm
424575.2777,5884497.4541,31.6893,03_Bronllwyd_Grit_Fm
424595.5846,5884483.7569,36.6911,03_Bronllwyd_Grit_Fm
424615.8902,5884470.0606,41.6988,03_Bronllwyd_Grit_Fm
424635.7091,5884456.6926,49.0137,03_Bronllwyd_Grit_Fm
424655.5280,5884443.3246,56.3286,03_Bronllwyd_Grit_Fm
424675.3469,5884429.9566,63.6436,03_Bronllwyd_Grit_Fm
424695.1654,5884416.5888,70.9597,03_Bronllwyd_Grit_Fm
424714.8601,5884403.3046,78.7476,03_Bronllwyd_Grit_Fm
424734.5547,5884390.0204,86.5354,03_Bronllwyd_Grit_Fm
424754.2494,5884376.7362,94.3233,03_Bronllwyd_Grit_Fm
424773.9435,5884363.4523,102.1129,03_Bronllwyd_Grit_Fm
424793.4843,5884350.2719,110.4456,03_Bronllwyd_Grit_Fm
424813.0251,5884337.0915,118.7784,03_Bronllwyd_Grit_Fm
424832.5659,5884323.9110,127.1111,03_Bronllwyd_Grit_Fm
424852.1074,5884310.7301,135.4412,03_Bronllwyd_Grit_Fm
424871.8651,5884297.4034,142.9931,03_Bronllwyd_Grit_Fm
424891.6228,5884284.0766,150.5449,03_Bronllwyd_Grit_Fm
424911.3805,5884270.7499,158.0967,03_Bronllwyd_Grit_Fm
424931.1399,5884257.4220,165.6414,03_Bronllwyd_Grit_Fm
424951.2731,5884243.8420,171.5776,03_Bronllwyd_Grit_Fm
424971.4063,5884230.2620,177.5138,03_Bronllwyd_Grit_Fm
424991.5395,5884216.6820,183.4500,03_Bronllwyd_Grit_Fm
425011.6741,5884203.1010,189.2090,03_Bronllwyd_Grit_Fm
425031.8975,5884189.4602,183.7374,03_Bronllwyd_Grit_Fm
425052.1209,5884175.8193,178.2657,03_Bronllwyd_Grit_Fm
425072.3444,5884162.1784,172.7940,03_Bronllwyd_Grit_Fm
425092.3910,5884148.6568,166.8435,03_Bronllwyd_Grit_Fm
425109.2919,5884137.2570,152.3727,03_Bronllwyd_Grit_Fm
425126.1928,5884125.8572,137.9019,03_Bronllwyd_Grit_Fm
425143.0937,5884114.4574,123.4311,03_Bronllwyd_Grit_Fm
425160.1315,5884102.9653,109.2651,03_Bronllwyd_Grit_Fm
425179.4145,5884089.9587,100.1004,03_Bronllwyd_Grit_Fm
425198.6976,5884076.9521,90.9357,03_Bronllwyd_Grit_Fm
425217.9807,5884063.9455,81.7710,03_Bronllwyd_Grit_Fm
425218.0536,5884063.8963,106.5884,03_Bronllwyd_Grit_Fm
425218.0235,5884063.9166,131.5884,03_Bronllwyd_Grit_Fm
425217.9933,5884063.9370,156.5884,03_Bronllwyd_Grit_Fm
425218.2766,5884063.7459,181.3993,03_Bronllwyd_Grit_Fm
425234.8753,5884052.5499,196.3703,03_Bronllwyd_Grit_Fm
425251.4741,5884041.3539,211.3412,03_Bronllwyd_Grit_Fm
425268.0729,5884030.1578,226.3122,03_Bronllwyd_Grit_Fm
425285.3094,5884018.5317,239.7083,03_Bronllwyd_Grit_Fm
425305.3026,5884005.0461,246.2970,03_Bronllwyd_Grit_Fm
425325.2958,5883991.5605,252.8857,03_Bronllwyd_Grit_Fm
425345.2890,5883978.0749,259.4744,03_Bronllwyd_Grit_Fm
425365.3502,5883964.5435,265.7110,03_Bronllwyd_Grit_Fm
425385.6991,5883950.8179,270.4578,03_Bronllwyd_Grit_Fm
425406.0480,5883937.0924,275.2047,03_Bronllwyd_Grit_Fm
425426.3969,5883923.3669,279.9515,03_Bronllwyd_Grit_Fm
425446.7932,5883909.6095,284.3257,03_Bronllwyd_Grit_Fm
425467.3871,5883895.7187,287.1423,03_Bronllwyd_Grit_Fm
425487.9811,5883881.8279,289.9589,03_Bronllwyd_Grit_Fm
425508.5751,5883867.9371,292.7755,03_Bronllwyd_Grit_Fm
425529.0485,5883854.1276,293.4413,03_Bronllwyd_Grit_Fm
425549.1407,5883840.5752,287.3064,03_Bronllwyd_Grit_Fm
425569.2329,5883827.0228,281.1715,03_Bronllwyd_Grit_Fm
425589.3251,5883813.4705,275.0366,03_Bronllwyd_Grit_Fm
425609.5253,5883799.8453,269.5607,03_Bronllwyd_Grit_Fm
425630.0421,5883786.0066,266.0182,03_Bronllwyd_Grit_Fm
425650.5589,5883772.1678,262.4757,03_Bronllwyd_Grit_Fm
425671.0757,5883758.3290,258.9332,03_Bronllwyd_Grit_Fm
425691.5464,5883744.5214,255.0633,03_Bronllwyd_Grit_Fm
425711.8823,5883730.8046,250.2360,03_Bronllwyd_Grit_Fm
425732.2182,5883717.0879,245.4087,03_Bronllwyd_Grit_Fm
425752.5541,5883703.3712,240.5814,03_Bronllwyd_Grit_Fm
425772.7931,5883689.7197,235.2617,03_Bronllwyd_Grit_Fm
425792.7605,5883676.2516,228.5598,03_Bronllwyd_Grit_Fm
425812.7278,5883662.7835,221.8578,03_Bronllwyd_Grit_Fm
425832.6951,5883649.3154,215.1558,03_Bronllwyd_Grit_Fm
425852.2938,5883636.0959,207.2920,03_Bronllwyd_Grit_Fm
425870.8695,5883623.5664,196.2036,03_Bronllwyd_Grit_Fm
425889.4453,5883611.0369,185.1151,03_Bronllwyd_Grit_Fm
425908.0210,5883598.5074,174.0267,03_Bronllwyd_Grit_Fm
425925.3586,5883586.8130,160.9451,03_Bronllwyd_Grit_Fm
425939.3981,5883577.3433,142.5545,03_Bronllwyd_Grit_Fm
425953.4377,5883567.8735,124.1639,03_Bronllwyd_Grit_Fm
425967.4772,5883558.4037,105.7733,03_Bronllwyd_Grit_Fm
425979.4469,5883550.3300,85.8204,03_Bronllwyd_Grit_Fm
425987.0205,5883545.2216,62.5492,03_Bronllwyd_Grit_Fm
425994.5941,5883540.1131,39.2781,03_Bronllwyd_Grit_Fm
426002.1676,5883535.0047,16.0070,03_Bronllwyd_Grit_Fm
426008.9927,5883530.4011,-7.5608,03_Bronllwyd_Grit_Fm
426014.3381,5883526.7956,-31.7150,03_Bronllwyd_Grit_Fm
426019.6836,5883523.1901,-55.8692,03_Bronllwyd_Grit_Fm
426025.0290,5883519.5845,-80.0234,03_Bronllwyd_Grit_Fm
426029.9773,5883516.2468,-104.2907,03_Bronllwyd_Grit_Fm
426034.1468,5883513.4345,-128.7796,03_Bronllwyd_Grit_Fm
426038.3163,5883510.6221,-153.2685,03_Bronllwyd_Grit_Fm
426042.4858,5883507.8097,-177.7574,03_Bronllwyd_Grit_Fm
426046.3632,5883505.1944,-202.3109,03_Bronllwyd_Grit_Fm
426049.6676,5883502.9655,-226.9911,03_Bronllwyd_Grit_Fm
426052.9721,5883500.7367,-251.6713,03_Bronllwyd_Grit_Fm
426056.2765,5883498.5078,-276.3515,03_Bronllwyd_Grit_Fm
426059.3970,5883496.4030,-301.0645,03_Bronllwyd_Grit_Fm
426062.1607,5883494.5389,-325.8413,03_Bronllwyd_Grit_Fm
426064.9244,5883492.6747,-350.6180,03_Bronllwyd_Grit_Fm
426067.6881,5883490.8106,-375.3948,03_Bronllwyd_Grit_Fm
426070.6544,5883488.8098,-400.1350,03_Bronllwyd_Grit_Fm
426074.0132,5883486.5443,-424.8045,03_Bronllwyd_Grit_Fm
426077.3719,5883484.2788,-449.4741,03_Bronllwyd_Grit_Fm
426080.7306,5883482.0133,-474.1436,03_Bronllwyd_Grit_Fm
426084.0893,5883479.7478,-498.8132,03_Bronllwyd_Grit_Fm
426087.4480,5883477.4824,-523.4827,03_Bronllwyd_Grit_Fm
426090.8067,5883475.2169,-548.1523,03_Bronllwyd_Grit_Fm
426094.1654,5883472.9514,-572.8218,03_Bronllwyd_Grit_Fm
426097.5241,5883470.6859,-597.4914,03_Bronllwyd_Grit_Fm
426097.8657,5883470.4556,-600.0000,03_Bronllwyd_Grit_Fm
424240.7437,5884723.1001,512.7730,02_Marchlyn_Fm
424261.1048,5884709.3664,508.1025,02_Marchlyn_Fm
424281.4658,5884695.6327,503.4320,02_Marchlyn_Fm
424301.8269,5884681.8990,498.7615,02_Marchlyn_Fm
424322.1879,5884668.1653,494.0913,02_Marchlyn_Fm
424342.7514,5884654.2951,490.9669,02_Marchlyn_Fm
424363.3148,5884640.4249,487.8426,02_Marchlyn_Fm
424383.8783,5884626.5547,484.7182,02_Marchlyn_Fm
424404.4420,5884612.6842,481.6013,02_Marchlyn_Fm
424425.1603,5884598.7096,482.2808,02_Marchlyn_Fm
424445.8786,5884584.7349,482.9604,02_Marchlyn_Fm
424466.5969,5884570.7603,483.6399,02_Marchlyn_Fm
424487.3101,5884556.7890,484.3613,02_Marchlyn_Fm
424507.3295,5884543.2858,490.8332,02_Marchlyn_Fm
424527.3489,5884529.7825,497.3052,02_Marchlyn_Fm
424547.3683,5884516.2793,503.7772,02_Marchlyn_Fm
424567.3784,5884502.7823,510.2834,02_Marchlyn_Fm
424586.6893,5884489.7569,519.3623,02_Marchlyn_Fm
424606.0002,5884476.7315,528.4413,02_Marchlyn_Fm
424625.3111,5884463.7061,537.5202,02_Marchlyn_Fm
424644.6051,5884450.6922,546.6437,02_Marchlyn_Fm
424662.8984,5884438.3532,558.3956,02_Marchlyn_Fm
424681.1916,5884426.0143,570.1475,02_Marchlyn_Fm
424699.4849,5884413.6753,581.8994,02_Marchlyn_Fm
424717.6505,5884401.4225,593.8476,02_Marchlyn_Fm
424731.4747,5884392.0979,612.4740,02_Marchlyn_Fm
424745.2990,5884382.7733,631.1004,02_Marchlyn_Fm
424759.1233,5884373.4487,649.7268,02_Marchlyn_Fm
424773.2920,5884363.8918,667.8983,02_Marchlyn_Fm
424789.9192,5884352.6766,682.8232,02_Marchlyn_Fm
424806.5465,5884341.4613,697.7481,02_Marchlyn_Fm
424823.1737,5884330.2461,712.6731,02_Marchlyn_Fm
424840.9888,5884318.2297,708.3745,02_Marchlyn_Fm
424859.2666,5884305.9012,696.5876,02_Marchlyn_Fm
424877.5443,5884293.5727,684.8008,02_Marchlyn_Fm
424895.8221,5884281.2442,673.0139,02_Marchlyn_Fm
424913.5704,5884269.2728,660.1273,02_Marchlyn_Fm
424931.1154,5884257.4386,646.8185,02_Marchlyn_Fm
424948.6603,5884245.6043,633.5096,02_Marchlyn_Fm
424966.2053,5884233.7701,620.2008,02_Marchlyn_Fm
424984.1923,5884221.6377,607.7972,02_Marchlyn_Fm
425002.3485,5884209.3912,595.7399,02_Marchlyn_Fm
425020.5047,5884197.1447,583.6827,02_Marchlyn_Fm
425038.6608,5884184.8982,571.6255,02_Marchlyn_Fm
425058.3694,5884171.6047,564.6287,02_Marchlyn_Fm
425078.6591,5884157.9191,559.5265,02_Marchlyn_Fm
425098.9488,5884144.2335,554.4244,02_Marchlyn_Fm
425119.2385,5884130.5479,549.3222,02_Marchlyn_Fm
425139.8137,5884116.6698,549.4629,02_Marchlyn_Fm
425160.4823,5884102.7286,551.3207,02_Marchlyn_Fm
425181.1509,5884088.7875,553.1785,02_Marchlyn_Fm
425201.8196,5884074.8463,555.0363,02_Marchlyn_Fm
425222.0986,5884061.1679,559.9059,02_Marchlyn_Fm
425242.2541,5884047.5729,565.7310,02_Marchlyn_Fm
425262.4095,5884033.9778,571.5562,02_Marchlyn_Fm
425282.5650,5884020.3828,577.3814,02_Marchlyn_Fm
425301.3766,5884007.6942,587.5551,02_Marchlyn_Fm
425319.7753,5883995.2841,599.0651,02_Marchlyn_Fm
425338.1740,5883982.8741,610.5750,02_Marchlyn_Fm
425356.5726,5883970.4640,622.0850,02_Marchlyn_Fm
425373.5388,5883959.0202,636.3428,02_Marchlyn_Fm
425390.1103,5883947.8426,651.3576,02_Marchlyn_Fm
425406.6819,5883936.6649,666.3724,02_Marchlyn_Fm
425423.2534,5883925.4873,681.3873,02_Marchlyn_Fm
425441.7872,5883912.9861,692.3034,02_Marchlyn_Fm
425460.8515,5883900.1270,702.1115,02_Marchlyn_Fm
425479.9158,5883887.2680,711.9196,02_Marchlyn_Fm
425498.9800,5883874.4090,721.7277,02_Marchlyn_Fm
425518.9807,5883860.9184,718.3856,02_Marchlyn_Fm
425539.1524,5883847.3124,712.6427,02_Marchlyn_Fm
425559.3241,5883833.7064,706.8998,02_Marchlyn_Fm
425579.4958,5883820.1005,701.1569,02_Marchlyn_Fm
425598.4797,5883807.2957,691.2401,02_Marchlyn_Fm
425617.3228,5883794.5858,680.8289,02_Marchlyn_Fm
425636.1660,5883781.8759,670.4177,02_Marchlyn_Fm
425655.0092,5883769.1660,660.0064,02_Marchlyn_Fm
425674.0358,5883756.3324,650.0943,02_Marchlyn_Fm
425693.0841,5883743.4841,640.2412,02_Marchlyn_Fm
425712.1325,5883730.6359,630.3880,02_Marchlyn_Fm
425731.1808,5883717.7876,620.5349,02_Marchlyn_Fm
425749.9353,5883705.1375,609.8975,02_Marchlyn_Fm
425768.6551,5883692.5109,599.1674,02_Marchlyn_Fm
425787.3749,5883679.8842,588.4372,02_Marchlyn_Fm
425806.0948,5883667.2575,577.7071,02_Marchlyn_Fm
425824.4446,5883654.8804,566.0891,02_Marchlyn_Fm
425842.7518,5883642.5320,554.3689,02_Marchlyn_Fm
425861.0590,5883630.1837,542.6487,02_Marchlyn_Fm
425879.3662,5883617.8353,530.9285,02_Marchlyn_Fm
425896.6188,5883606.1983,517.0998,02_Marchlyn_Fm
425913.7507,5883594.6426,503.0297,02_Marchlyn_Fm
425930.8826,5883583.0870,488.9597,02_Marchlyn_Fm
425948.0145,5883571.5314,474.8897,02_Marchlyn_Fm
425963.0594,5883561.3835,457.7460,02_Marchlyn_Fm
425977.8709,5883551.3931,440.2585,02_Marchlyn_Fm
425992.6823,5883541.4026,422.7711,02_Marchlyn_Fm
426007.4938,5883531.4122,405.2836,02_Marchlyn_Fm
426018.9257,5883523.7012,384.4973,02_Marchlyn_Fm
