X,Y,Z,formation
687449.2316,5291012.847,804.3111374,Helvetics_Base_Thrust
688337.3707,5290984.398,786.8007775,Helvetics_Base_Thrust
689103.6981,5290683.127,740.5115725,Helvetics_Base_Thrust
689837.147,5293985.109,684.5028721,Leitzach_Thrust
690669.9654,5290750.477,734.7225481,Helvetics_Base_Thrust
691978.226,5292608.377,672.036962,Baustein Beds
692140.9939,5292725.593,677.8808215,Lower Chattian Coal FM
693021.0522,5292798.704,694.5417997,Lower Bunte Molasse
693025.4041,5292142.481,704.48626,Baustein Beds
693236.2249,5292302.578,709.0484245,Lower Chattian Coal FM
694816.2076,5293733.259,714.9984903,Muehlau_Thrust
695078.9393,5291464.652,683.0474576,Helvetics_Base_Thrust
695435.9918,5294663.43,708.9488814,Leitzach_Thrust
696156.2154,5291914.142,727.8789842,Lower Chattian Coal FM
696772.6144,5291793.718,768.0494298,Baustein Beds
696807.5135,5292071.724,743.927069,Lower Bunte Molasse
697365.2284,5291583.339,749.4691623,Helvetics_Base_Thrust
697765.6998,5292013.556,800.5843725,Lower Bunte Molasse
698163.7577,5291411.615,775.1949697,Helvetics_Base_Thrust
698212.8394,5291756.62,877.9544994,Lower Chattian Coal FM
698349.1936,5293157.092,739.6130567,Lower Bunte Molasse
698498.2716,5291709.701,875.4990765,Baustein Beds
698693.6456,5293819.205,747.446767,Baustein Beds
698753.9314,5293646.522,763.4017913,Lower Chattian Coal FM
698995.3865,5294419.144,733.2882319,Muehlau_Thrust
699378.8595,5295314.765,736.5696282,Leitzach_Thrust
700027.1161,5291385.347,875.2545892,Helvetics_Base_Thrust
700798.1561,5291687.402,852.152205,Lower Chattian Coal FM
700964.5476,5291259.505,903.4038202,Helvetics_Base_Thrust
701418.5306,5291976.208,859.7137338,Lower Bunte Molasse
702247.8875,5291581.82,844.0287967,Baustein Beds
702752.9103,5291948.513,796.4354021,Lower Bunte Molasse
702761.4562,5291639.076,811.7805909,Lower Chattian Coal FM
706445.3574,5292935.794,-4.1,Lower Chattian Coal FM
706861.3088,5292314.396,844.1877677,Lower Bunte Molasse
706921.0559,5294525.102,718.7439358,Lower Chattian Coal FM
706979.3318,5292091.232,792.5148066,Lower Bunte Molasse
707491.3055,5291257.377,827.673001,Helvetics_Base_Thrust
707571.7226,5293798.168,750.4715723,Lower Bunte Molasse
707627.5287,5294654.974,729.3510487,Baustein Beds
707844.5122,5292042.692,825.8002292,Lower Bunte Molasse
708317.9881,5292241.129,812.4537881,Lower Bunte Molasse
710138.3906,5294718.713,792.6229185,Lower Chattian Coal FM
710147.3473,5294043.73,754.9245338,Lower Bunte Molasse
710194.1583,5291526.837,843.914309,Helvetics_Base_Thrust
710232.6938,5292389.534,774.0923428,Lower Bunte Molasse
710376.039,5291786.808,816.1096307,Baustein Beds
710547.3508,5291899.697,800.1833298,Lower Chattian Coal FM
710561.2446,5294866.022,754.7990166,Baustein Beds
711636.5301,5292586.982,759.6454157,Lower Bunte Molasse
712702.9046,5292181.151,772.1919611,Baustein Beds
712812.8842,5295075.171,788.9576085,Lower Chattian Coal FM
713077.6995,5294655.538,813.6372819,Lower Bunte Molasse
713227.3285,5293117.769,-466.4,Baustein Beds
713399.714,5293044.658,851.6696937,Lower Bunte Molasse
714528.8689,5294971.366,793.0412354,Lower Bunte Molasse
714734.1354,5292761.865,841.659646,Lower Chattian Coal FM
715183.6461,5293766.648,865.2682599,Lower Bunte Molasse
715231.0276,5295836.705,704.7247415,Baustein Beds
715285.6755,5295675.177,720.6479952,Lower Chattian Coal FM
715751.1383,5297515.657,690.3678841,Leitzach_Thrust
715771.8061,5292623.223,930.4530162,Helvetics_Base_Thrust
715830.0564,5292907.393,859.7189224,Baustein Beds
715847.6989,5292653.884,-205.8,Baustein Beds
715850.2559,5296574.236,666.0923355,Muehlau_Thrust
716210.7517,5295306.743,700.714279,Lower Bunte Molasse
717243.4686,5294121.972,759.2676855,Lower Bunte Molasse
717617.6925,5293503.338,768.5702151,Lower Chattian Coal FM
717823.8087,5293346.798,796.1120381,Baustein Beds
718029.3308,5292698.994,806.5334225,Helvetics_Base_Thrust
720173.7766,5297923.108,624.9007158,Leitzach_Thrust
720605.0064,5297202.133,655.3888427,Muehlau_Thrust
721099.9168,5296820.424,708.2826402,Baustein Beds
721348.2227,5296633.07,712.7988274,Lower Chattian Coal FM
722276.3761,5294591.416,885.332675,Lower Chattian Coal FM
722317.17,5297775.162,515.1829986,Leitzach_Thrust
722322.1977,5294434.291,838.290781,Baustein Beds
722444.0697,5294351.382,785.5982444,Helvetics_Base_Thrust
722774.3666,5296639.105,614.0674285,Baustein Beds
723128.5544,5296281.223,663.5536918,Lower Chattian Coal FM
723509.6417,5295201.828,747.0618761,Lower Chattian Coal FM
723616.2379,5296271.867,576.8464213,Baustein Beds
723688.8917,5296765.892,518.2527291,Muehlau_Thrust
723857.2789,5295601.585,690.0009962,Lower Chattian Coal FM
723954.2295,5295205.628,633.2606203,Baustein Beds
724161.0108,5295644.015,598.2335613,Baustein Beds
724645.7968,5297332.614,480.2348407,Leitzach_Thrust
724722.9015,5294866.447,587.3080756,Helvetics_Base_Thrust
