X,Y,Z,formation
4467249.179,5291197.496,672.036962,Baustein Beds
4468277.473,5290691.389,704.48626,Baustein Beds
4472008.151,5290197.705,768.0494298,Baustein Beds
4473729.137,5290046.892,875.4990765,Baustein Beds
4474006.099,5292147.082,747.446767,Baustein Beds
4477470.665,5289773.834,844.0287967,Baustein Beds
4482964.769,5292635.862,729.3510487,Baustein Beds
4485599.701,5289663.717,816.1096307,Baustein Beds
4485904.071,5292733.009,754.7990166,Baustein Beds
4487939.758,5289967.551,772.1919611,Baustein Beds
4488500,5290883,-466.4,Baustein Beds
4490607.253,5293521.794,704.7247415,Baustein Beds
4491092.197,5290571.959,859.7189224,Baustein Beds
4491100,5290318,-205.8,Baustein Beds
4493101.129,5290933.698,796.1120381,Baustein Beds
4496508.793,5294277.068,708.2826402,Baustein Beds
4497637.413,5291845.832,838.290781,Baustein Beds
4498174.613,5294031.005,614.0674285,Baustein Beds
4499001.437,5293631.483,576.8464213,Baustein Beds
4499297.771,5292553.172,633.2606203,Baustein Beds
4499521.345,5292983.12,598.2335613,Baustein Beds
4462661.876,5289778.703,804.3111374,Helvetics_Base_Thrust
4463548.232,5289715.864,786.8007775,Helvetics_Base_Thrust
4464302.296,5289385.135,740.5115725,Helvetics_Base_Thrust
4465869.955,5289391.749,734.7225481,Helvetics_Base_Thrust
4470303.099,5289934.531,683.0474576,Helvetics_Base_Thrust
4472592.129,5289964.535,749.4691623,Helvetics_Base_Thrust
4473383.349,5289762.012,775.1949697,Helvetics_Base_Thrust
4475244.146,5289663.57,875.2545892,Helvetics_Base_Thrust
4476175.918,5289501.513,903.4038202,Helvetics_Base_Thrust
4482697.002,5289246.519,827.673001,Helvetics_Base_Thrust
4485407.91,5289411.025,843.914309,Helvetics_Base_Thrust
4491022.989,5290290.308,930.4530162,Helvetics_Base_Thrust
4493281.357,5290278.534,806.5334225,Helvetics_Base_Thrust
4497755.955,5291758.279,785.5982444,Helvetics_Base_Thrust
4500052.552,5292184.526,587.3080756,Helvetics_Base_Thrust
4504185.586,5297279.667,469.3965402,Kirchbichl_Thrust_proximal
4499254.066,5297197.292,496.1358998,Kirchbichl_Thrust_proximal
4494445.866,5296748.294,656.1208304,Kirchbichl_Thrust_proximal
4493803.639,5296752.791,673.8910873,Kirchbichl_Thrust_proximal
4493200.417,5296907.666,671.2839644,Kirchbichl_Thrust_proximal
4488453.76,5296985.625,729.3157889,Kirchbichl_Thrust_proximal
4485285.096,5296784.541,663.2291934,Kirchbichl_Thrust_proximal
4462840.116,5295627.144,630,Kirchbichl_Thrust_proximal
4487945,5295180,-1400,Kirchbichl_Thrust_proximal
4500940,5293378,-2036,Kirchbichl_Thrust_proximal
4500071.124,5294651.288,480.2348407,Leitzach_Thrust
4497761.902,5295183.699,515.1829986,Leitzach_Thrust
