X,Y,Z,formation
4491092.197,5290571.959,859.7189224,Baustein Beds
4485599.701,5289663.717,816.1096307,Baustein Beds
4487939.758,5289967.551,772.1919611,Baustein Beds
4485904.071,5292733.009,754.7990166,Baustein Beds
4490607.253,5293521.794,704.7247415,Baustein Beds
4491100,5290318,-205.8,Baustein Beds
4488500,5290883,-466.4,Baustein Beds
4490479.679,5291455.474,865.2682599,Lower Bunte Molasse
4488669.396,5290803.275,851.6696937,Lower Bunte Molasse
4488410.104,5292425.174,813.6372819,Lower Bunte Molasse
4483561.075,5290197.378,812.4537881,Lower Bunte Molasse
4489872.194,5292684.466,793.0412354,Lower Bunte Molasse
4485479.837,5290271.461,774.0923428,Lower Bunte Molasse
4486890.069,5290414.336,759.6454157,Lower Bunte Molasse
4485458.671,5291927.492,754.9245338,Lower Bunte Molasse
4489991.643,5290469.031,841.659646,Lower Chattian Coal FM
4485775.234,5289769.868,800.1833298,Lower Chattian Coal FM
4485475.884,5292602.221,792.6229185,Lower Chattian Coal FM
4488161.794,5292854.692,788.9576085,Lower Chattian Coal FM
4490655.589,5293358.296,720.6479952,Lower Chattian Coal FM
