X,Y,Z,formation
4488606.323,5287829.294,790.6201416,RDF_Base_Thrust
4487698.959,5288080.786,976.1597817,RDF_Base_Thrust
4489776.703,5288184.813,776,RDF_Base_Thrust
4483648.278,5288215.857,1105.212517,RDF_Base_Thrust
4488163.657,5288445.029,853.9695664,RDF_Base_Thrust
4487029.562,5288461.786,1105.09679,RDF_Base_Thrust
4490545.882,5288610.483,903.3038381,RDF_Base_Thrust
4486284.151,5288638.392,1047.019383,RDF_Base_Thrust
4485579.907,5288676.099,1009.586282,RDF_Base_Thrust
4489953.214,5288777.17,825.6795021,RDF_Base_Thrust
4486512.104,5288939.524,925.0054204,RDF_Base_Thrust
4484912.886,5289102.951,914.5117312,RDF_Base_Thrust
4487895.837,5289308.578,775.7683458,RDF_Base_Thrust
4485407.91,5289411.025,843.914309,Helvetics_Base_Thrust
4488500,5289601,771.8,Helvetics_Base_Thrust
4485599.701,5289663.717,816.1096307,Baustein Beds
4487939.758,5289967.551,772.1919611,Baustein Beds
4483561.075,5290197.378,812.4537881,Lower Bunte Molasse
4491022.989,5290290.308,930.4530162,Helvetics_Base_Thrust
4491100,5290318,-205.8,Baustein Beds
4491092.197,5290571.959,859.7189224,Baustein Beds
4488669.396,5290803.275,851.6696937,Lower Bunte Molasse
4488500,5290883,-466.4,Baustein Beds
4490479.679,5291455.474,865.2682599,Lower Bunte Molasse
4485458.671,5291927.492,754.9245338,Lower Bunte Molasse
4489872.194,5292684.466,793.0412354,Lower Bunte Molasse
4485904.071,5292733.009,754.7990166,Baustein Beds
4490607.253,5293521.794,704.7247415,Baustein Beds
4488410.104,5292425.174,813.6372819,Lower Bunte Molasse
