X,Y,Z,azimuth,dip,polarity,formation
4466913,5290477.988,655,190,73,-1,Baustein Beds
4466936.202,5291480.442,655,120,60,1,Baustein Beds
4467174.513,5291634.748,670,130,70,1,Baustein Beds
4468019.499,5290564.385,680,190,83,-1,Baustein Beds
4473494.152,5289945.627,800,5,65,1,Baustein Beds
4473860.179,5289912.383,810,0,70,1,Baustein Beds
4474110.018,5289889.022,840,5,60,1,Baustein Beds
4474516.399,5289924.352,845,10,63,1,Baustein Beds
4476288.171,5289809.294,830,15,62,1,Baustein Beds
4490813.781,5290501.691,905,160,38,-1,Baustein Beds
4490909.815,5293564.701,715,180,50,1,Baustein Beds
4496945.524,5294258.74,670,195,30,1,Baustein Beds
4497352.636,5294269.65,630,185,35,1,Baustein Beds
4497356.332,5294162.132,655,190,27,1,Baustein Beds
4497787.17,5294086.004,660,195,30,1,Baustein Beds
4497802.18,5294145.26,640,195,30,1,Baustein Beds
4498417.869,5294000.506,600,200,30,1,Baustein Beds
4498919.871,5293674.274,600,210,18,1,Baustein Beds
4498992.279,5293761.318,575,210,16,1,Baustein Beds
4499247.013,5293368.456,600,210,20,1,Baustein Beds
4499394.43,5293394.342,570,255,16,1,Baustein Beds
4483272.932,5292579.276,730.7237201,164,52,1,Baustein Beds
4498921.001,5293338.827,664.1839826,234,11,1,Baustein Beds
4498958.482,5293383.294,642.3848206,242,22,1,Baustein Beds
4498998.512,5293437.1,618.0617945,242,22,1,Baustein Beds
4499053.453,5293479.674,584.9592454,229,17,1,Baustein Beds
4493434.955,5291011.428,750.6853594,164,28,-1,Baustein Beds
4490321.16,5293348.852,724.8812375,165,55,1,Baustein Beds
4490413.746,5293411.739,714.2055919,155,44,1,Baustein Beds
4490440.02,5293437.602,714.0148779,162,50,1,Baustein Beds
4463959.6,5289237.3,836.8,185,88,1,Helvetics_Base_Thrust
4474292.7,5289369.4,810.1,340,88,-1,Helvetics_Base_Thrust
4491023,5290290,930.5,170,40,1,Helvetics_Base_Thrust
4496717.5,5295230,553.1,190,60,1,Leitzach_Thrust
4495968,5295343.5,582,185,56,1,Leitzach_Thrust
4491264,5294907.5,670,185,63,1,Leitzach_Thrust
4484115,5293588.5,717.3,185,63,1,Leitzach_Thrust
4468337.105,5291518.856,690,20,80,1,Lower Bunte Molasse
4468461.531,5291651.602,690,165,75,1,Lower Bunte Molasse
4472232.246,5290561.19,750,10,56,1,Lower Bunte Molasse
4472616.853,5290755.824,720,350,47,1,Lower Bunte Molasse
4472721.667,5290468.02,750,10,80,1,Lower Bunte Molasse
4472783.686,5290899.579,730,5,50,1,Lower Bunte Molasse
4473490.189,5290994.474,735,350,18,1,Lower Bunte Molasse
4473501.497,5290468.173,800,0,62,1,Lower Bunte Molasse
4473612.964,5290510.248,805,0,60,1,Lower Bunte Molasse
4473666,5291453.208,740,170,48,1,Lower Bunte Molasse
4473735.524,5290815.455,775,350,48,1,Lower Bunte Molasse
4474078.131,5291406.869,760,180,55,1,Lower Bunte Molasse
4474207.865,5290809.658,800,0,52,1,Lower Bunte Molasse
4474311.737,5291405.826,770,175,72,1,Lower Bunte Molasse
4474461.12,5291279.189,770,170,63,1,Lower Bunte Molasse
4474548.278,5290913.777,800,355,60,1,Lower Bunte Molasse
4474666.682,5291139.3,790,345,20,1,Lower Bunte Molasse
4474746.306,5291053.671,795,355,31,1,Lower Bunte Molasse
4474819.545,5290947.723,785,5,41,1,Lower Bunte Molasse
4474943.55,5290721.141,830,345,57,1,Lower Bunte Molasse
4474948.833,5291075.026,795,0,23,1,Lower Bunte Molasse
4477302.275,5290552.062,850,5,53,1,Lower Bunte Molasse
4478025.678,5290842.019,775,0,36,1,Lower Bunte Molasse
4481278.783,5291317.882,725,175,32,1,Lower Bunte Molasse
4481420.207,5290628.07,755,20,25,1,Lower Bunte Molasse
4481426.281,5290954.271,750,25,17,1,Lower Bunte Molasse
4482120.692,5290827.882,785,25,18,1,Lower Bunte Molasse
4483277.74,5291652.748,775,175,41,1,Lower Bunte Molasse
4483357.655,5291211.441,815,140,28,1,Lower Bunte Molasse
4483854.163,5290476.202,820,0,45,1,Lower Bunte Molasse
4484107.369,5291207.546,850,170,26,1,Lower Bunte Molasse
4484115.21,5293588.688,725,185,63,1,Lower Bunte Molasse
4484335.99,5290280.297,810,0,90,1,Lower Bunte Molasse
