X,Y,Z,azimuth,dip,polarity,formation
720403.9306,5298148.315,590,200,45,1,Lower Bunte Molasse
720425.4719,5298043.412,585,190,38,1,Lower Bunte Molasse
720497.3039,5297994.288,580,195,45,1,Lower Bunte Molasse
715696.7591,5297972.87,675,190,39,1,Lower Bunte Molasse
721775.7355,5297963.337,535,180,42,1,Lower Bunte Molasse
715785.3917,5297874.128,665,195,35,1,Lower Bunte Molasse
720398.3361,5297869.882,585,180,75,1,Lower Bunte Molasse
720518.0587,5297865.288,582,185,56,1,Leitzach_Thrust
720518.4937,5297865.221,580,185,56,1,Lower Bunte Molasse
720943.6059,5297827.681,560,185,50,1,Lower Bunte Molasse
721271.5459,5297780.924,553.1,190,60,1,Leitzach_Thrust
721271.5995,5297780.781,555,190,60,1,Lower Bunte Molasse
720061.0857,5297766.239,610,30,65,1,Lower Bunte Molasse
721248.357,5297733.596,560,185,60,1,Lower Bunte Molasse
721248.7898,5297690.877,565,185,72,1,Lower Bunte Molasse
721219.4752,5297639.677,570,195,58,1,Lower Bunte Molasse
715854.8607,5297585.604,670,185,25,1,Lower Bunte Molasse
721217.4309,5297561.696,580,190,68,1,Lower Bunte Molasse
721230.6502,5297478.735,590,185,66,1,Lower Bunte Molasse
721230.7313,5297478.554,600.9,185,66,1,Muehlau_Thrust
721713.3707,5297471.272,565,0,78,1,Lower Bunte Molasse
720321.5571,5297460.785,635.5,180,69,1,Muehlau_Thrust
720321.3732,5297460.751,620,180,69,1,Lower Bunte Molasse
716035.0646,5297412.383,655,185,45,1,Lower Bunte Molasse
715853.0817,5297400.03,670,170,40,1,Lower Bunte Molasse
715833.7342,5297247.186,675,185,63,1,Lower Bunte Molasse
715833.6495,5297247.072,670,185,63,1,Leitzach_Thrust
716132.9323,5297100.773,685,165,78,1,Lower Bunte Molasse
716133.1071,5297100.548,700.4,165,78,1,Muehlau_Thrust
721943.5827,5296845.739,630,185,35,1,Baustein Beds
721537.1176,5296819.045,670,195,30,1,Baustein Beds
722397.7052,5296738.853,640,195,30,1,Baustein Beds
721951.4468,5296738.423,655,190,27,1,Baustein Beds
721602.4197,5296680.54,700,190,30,1,Lower Chattian Coal FM
722385.0017,5296679.047,660,195,30,1,Baustein Beds
721955.9144,5296655.127,685,185,28,1,Lower Chattian Coal FM
722381.0595,5296619.577,685,195,32,1,Lower Chattian Coal FM
723018.6734,5296618.057,600,200,30,1,Baustein Beds
722840.1213,5296611.183,655,195,26,1,Lower Chattian Coal FM
720510.5774,5296562.847,735,185,36,1,Lower Bunte Molasse
722999.9831,5296519.068,615,200,23,1,Lower Chattian Coal FM
722989.1143,5296476.025,670,200,19,1,Lower Chattian Coal FM
723602.0494,5296401.277,575,210,16,1,Baustein Beds
723533.0564,5296311.471,600,210,18,1,Baustein Beds
723485.7992,5296272.588,615,250,18,1,Lower Chattian Coal FM
723353.3939,5296235.873,650,240,11,1,Lower Chattian Coal FM
723674.1134,5296122.157,584.9592454,229,17,1,Baustein Beds
723620.8532,5296077.475,618.0617945,242,22,1,Baustein Beds
724018.2164,5296050.095,570,255,16,1,Baustein Beds
723582.9314,5296022.146,642.3848206,242,22,1,Baustein Beds
723871.8825,5296018.506,600,210,20,1,Baustein Beds
723547.1952,5295976.249,664.1839826,234,11,1,Baustein Beds
723859.3374,5295954.918,620,250,22,1,Lower Chattian Coal FM
715531.7489,5295891.32,715,180,50,1,Baustein Beds
723908.7747,5295873.359,630,260,14,1,Lower Chattian Coal FM
715067.1575,5295746.077,714.0148779,162,50,1,Baustein Beds
723495.0786,5295740.525,757.0092616,224,29,1,Lower Chattian Coal FM
723904.3241,5295730.4,690,275,21,1,Lower Chattian Coal FM
715041.9018,5295719.21,714.2055919,155,44,1,Baustein Beds
723957.3306,5295717.647,680,280,22,1,Lower Chattian Coal FM
723645.7645,5295690.695,734.3534194,234,25,1,Lower Chattian Coal FM
714951.8087,5295652.77,724.8812375,165,55,1,Baustein Beds
708740.307,5295651.812,725,185,63,1,Lower Bunte Molasse
708740.1044,5295651.616,717.3,185,63,1,Leitzach_Thrust
724072.5598,5295647.871,660,285,28,1,Lower Chattian Coal FM
714931.4374,5295562.99,746.1948117,165,51,1,Lower Chattian Coal FM
708460.7129,5295436.095,702.5,170,85,1,Muehlau_Thrust
723984.9713,5295421.899,655,290,26,1,Lower Chattian Coal FM
714866.4598,5295393.659,747.3965496,165,58,1,Lower Chattian Coal FM
724031.2802,5295388.409,630,290,20,1,Lower Chattian Coal FM
723857.7835,5295381.702,695,340,21,1,Lower Chattian Coal FM
714863.5021,5295337.908,757.869412,172,54,1,Lower Chattian Coal FM
723968.424,5295300.729,645,325,28,1,Lower Chattian Coal FM
714865.8689,5295172.968,766.2244561,163,52,1,Lower Chattian Coal FM
714908.8595,5295126.267,770.3782401,161,49,1,Lower Chattian Coal FM
714962.4283,5295063.377,773.5583692,166,54,1,Lower Chattian Coal FM
715019.301,5295046.905,785.124228,161,51,1,Lower Bunte Molasse
715105.6263,5295013.053,789.9131494,160,36,1,Lower Bunte Molasse
715155.4571,5294883.258,791.7545018,163,44,1,Lower Bunte Molasse
717342.2896,5294883.201,720,175,31,1,Lower Bunte Molasse
717543.6351,5294881.521,700,165,30,1,Lower Bunte Molasse
717149.1892,5294863.052,735,170,41,1,Lower Bunte Molasse
