X,Y,Z,azimuth,dip,polarity,formation
4484335.99,5290280.297,810,0,90,1,Lower Bunte Molasse
4485884.89,5290472.761,767.8612014,178,88,-1,Lower Bunte Molasse
4483854.163,5290476.202,820,0,45,1,Lower Bunte Molasse
4490813.781,5290501.691,905,160,38,-1,Baustein Beds
4484796.812,5290608.952,818.902622,2,15,1,Lower Bunte Molasse
4491053.954,5290651.411,875,165,46,-1,Lower Chattian Coal FM
4486490.295,5290697.349,762.6323745,183,78,-1,Lower Bunte Molasse
4484889.553,5290719.894,832.4584102,3,41,1,Lower Bunte Molasse
4483517.552,5290758.899,847.9839009,8,16,1,Lower Bunte Molasse
4486215.134,5291109.389,738.4329529,188,9,1,Lower Bunte Molasse
4488469.304,5291117.439,773.48508,165,26,1,Lower Bunte Molasse
4484107.369,5291207.546,850,170,26,1,Lower Bunte Molasse
4486731.871,5291410.266,755,160,42,1,Lower Bunte Molasse
4489832.307,5291661.565,850,160,70,-1,Lower Bunte Molasse
4485302.088,5291749.186,800,170,39,1,Lower Bunte Molasse
4484623.695,5291765.745,795,180,43,1,Lower Bunte Molasse
4490177.851,5292070.46,800,155,48,1,Lower Bunte Molasse
4490288.069,5292218.483,780,160,46,1,Lower Bunte Molasse
4490393.127,5292286.907,782.8863969,168,39,1,Lower Bunte Molasse
4488565.457,5292342.18,855,170,54,1,Lower Bunte Molasse
4490220.729,5293037.702,757.869412,172,54,1,Lower Chattian Coal FM
4490297.327,5293259.944,746.1948117,165,51,1,Lower Chattian Coal FM
4490413.746,5293411.739,714.2055919,155,44,1,Baustein Beds
4490909.815,5293564.701,715,180,50,1,Baustein Beds
4484115.21,5293588.688,725,185,63,1,Lower Bunte Molasse
