X,Y,Z,azimuth,dip,polarity,formation
4483517.552,5290758.899,847.9839009,8,16,1,Lower Bunte Molasse
4484107.369,5291207.546,850,170,26,1,Lower Bunte Molasse
4484335.99,5290280.297,810,0,90,1,Lower Bunte Molasse
4484795.456,5288863.593,914.1630322,180,53,1,RDF_Base_Thrust
4484796.812,5290608.952,818.902622,2,15,1,Lower Bunte Molasse
4484889.553,5290719.894,832.4584102,3,41,1,Lower Bunte Molasse
4485302.088,5291749.186,800,170,39,1,Lower Bunte Molasse
4485884.89,5290472.761,767.8612014,178,88,-1,Lower Bunte Molasse
4486208.5,5287911,1160.5,165,50,1,RDF_Base_Thrust
4486215.134,5291109.389,738.4329529,188,9,1,Lower Bunte Molasse
4486284.151,5289300,1047.019383,180,56,1,RDF_Base_Thrust
4488469.304,5291117.439,773.48508,165,26,1,Lower Bunte Molasse
4488565.457,5292342.18,855,170,54,1,Lower Bunte Molasse
4489277.5,5289522.5,811.3,193,56,1,RDF_Base_Thrust
4489832.307,5291661.565,850,160,70,-1,Lower Bunte Molasse
4490288.069,5292218.483,780,160,46,1,Lower Bunte Molasse
4490813.781,5290501.691,905,160,38,-1,Baustein Beds
4490909.815,5293564.701,715,180,50,1,Baustein Beds
4491023,5290290,930.5,170,40,1,Helvetics_Base_Thrust
